"INV_REF","CLUST_ID","PLOT_ID","Ecoregion","DATE","LAT","LON","ACDobs","SaatchiOrig1km","Saatchi1km","BacciniOrig500m","Baccini1km","ELEV","EVI","VCF","TEMP","TSEAS","PRECIP"
"JariAla (DGF/USAID)","2-21-GIII","2-21A-GIII","moist","08.2007",-20.5453888893139,47.5106944444444,88.4,93.8085556030273,93,138.65,109.51,1304,0.416169295708338,74.3333333333333,173,2622,1627
"JariAla (DGF/USAID)","2-21-GI","2-21B-GI","moist","08.2007",-20.3870833333333,47.7335833333267,71.4,129.110809326172,130,40.89,79.9,1044,0.484331885973612,33.3333333333333,189,2564,1900
"JariAla (DGF/USAID)","2-21-GII","2-21B-GII","moist","08.2007",-20.4897222222222,47.5730555555556,169.4,141.664566040039,133,76.14,46.53,939,0.453724632660548,71,189,2555,1833
"JariAla (DGF/USAID)","2-21-GIII","2-21B-GIII","moist","08.2007",-20.5453888893139,47.5106944444444,63.5,93.8085556030273,93,138.65,109.51,1304,0.416169295708338,74.3333333333333,173,2622,1627
"JariAla (DGF/USAID)","2-21-GI","2-21C-GI","moist","08.2007",-20.3866111111639,47.732750000425,56.7,129.110809326172,130,40.89,79.9,1037,0.484331885973612,32.3333333333333,188,2579,1878
"JariAla (DGF/USAID)","2-21-GII","2-21C-GII","moist","08.2007",-20.4897222222222,47.5730555555556,152.5,141.664566040039,133,76.14,46.53,939,0.453724632660548,71,189,2555,1833
"JariAla (DGF/USAID)","2-21-GIII","2-21C-GIII","moist","08.2007",-20.5453888893139,47.5106944444444,71.6,93.8085556030273,93,138.65,109.51,1304,0.416169295708338,74.3333333333333,173,2622,1627
"JariAla (DGF/USAID)","2-22-GI","2-22A-GI","moist","08.2007",-20.3866388887833,47.7151388888889,36.6,122.303039550781,127,149.93,151.34,1160,0.417635967334112,77,180,2607,1776
"JariAla (DGF/USAID)","2-22-GII","2-22A-GII","moist","08.2007",-20.4952777777778,47.5536111111111,130.3,103.485290527344,120,148.52,139.12,1258,0.435479978720347,58.3333333333333,174,2574,1655
"JariAla (DGF/USAID)","2-22-GIII","2-22A-GIII","moist","08.2007",-20.5453888893139,47.4912777778833,61.3,93.2099151611328,93,93.53,137.24,1401,0.396185765663783,57.6666666666667,169,2568,1581
